status,loan_amount,annual_income,purpose,home_ownership
Charged Off,11000,80000,credit_card,MORTGAGE
Charged Off,5000,85000,medical,MORTGAGE
Charged Off,10000,36000,debt_consolidation,OWN
Charged Off,3000,65000,other,MORTGAGE
Charged Off,7700,29772,other,RENT
Charged Off,24500,85000,credit_card,RENT
Charged Off,22200,160000,debt_consolidation,RENT
Charged Off,13000,28000,credit_card,RENT
Charged Off,3600,60000,medical,MORTGAGE
Charged Off,12375,40000,other,RENT
Charged Off,7100,33000,debt_consolidation,RENT
Charged Off,22250,41000,debt_consolidation,RENT
Charged Off,7650,57000,debt_consolidation,RENT
Charged Off,20675,50132,other,RENT
Charged Off,20500,47800,debt_consolidation,RENT
Charged Off,29000,65000,debt_consolidation,RENT
Charged Off,12000,88000,debt_consolidation,MORTGAGE
Charged Off,10000,30000,debt_consolidation,RENT
Charged Off,21600,58600,home_improvement,MORTGAGE
Charged Off,8250,27500,other,RENT
Charged Off,12000,60000,major_purchase,RENT
Charged Off,7200,33000,credit_card,RENT
Charged Off,10000,35000,debt_consolidation,OWN
Charged Off,10000,77400,credit_card,MORTGAGE
Charged Off,6000,30000,credit_card,RENT
Charged Off,7000,41000,other,RENT
Charged Off,3000,30000,debt_consolidation,RENT
Charged Off,13200,41600,debt_consolidation,MORTGAGE
Charged Off,14125,45696,debt_consolidation,MORTGAGE
Charged Off,18000,66000,debt_consolidation,OWN
Charged Off,35000,71316,debt_consolidation,MORTGAGE
Charged Off,16000,50000,debt_consolidation,RENT
Charged Off,12000,83000,debt_consolidation,RENT
Charged Off,13000,42000,debt_consolidation,RENT
Charged Off,7125,30000,debt_consolidation,MORTGAGE
Charged Off,9600,55000,debt_consolidation,RENT
Charged Off,12000,63000,debt_consolidation,MORTGAGE
Charged Off,15000,38000,credit_card,RENT
Charged Off,22250,47532,debt_consolidation,MORTGAGE
Charged Off,6000,37000,small_business,RENT
Charged Off,8200,42000,credit_card,RENT
Charged Off,15000,37000,credit_card,RENT
Charged Off,15700,60000,debt_consolidation,MORTGAGE
Charged Off,35000,235000,credit_card,MORTGAGE
Charged Off,12000,78000,debt_consolidation,RENT
Charged Off,13000,55000,credit_card,RENT
Charged Off,8000,108000,home_improvement,OWN
Charged Off,1200,34000,other,RENT
Charged Off,5000,66000,small_business,MORTGAGE
Charged Off,13250,35000,debt_consolidation,RENT
Charged Off,10000,29406,debt_consolidation,RENT
Charged Off,2200,26004,debt_consolidation,RENT
Charged Off,10625,26500,debt_consolidation,RENT
Charged Off,7200,88800,debt_consolidation,MORTGAGE
Charged Off,10400,72000,debt_consolidation,MORTGAGE
Charged Off,12000,55000,debt_consolidation,RENT
Charged Off,10625,30000,credit_card,RENT
Charged Off,16400,61500,credit_card,RENT
Charged Off,30000,110000,small_business,MORTGAGE
Charged Off,12000,40000,debt_consolidation,RENT
Charged Off,5000,61400,home_improvement,MORTGAGE
Charged Off,5000,32000,debt_consolidation,RENT
Charged Off,8000,35000,credit_card,RENT
Charged Off,10000,40000,credit_card,OWN
Charged Off,5350,52000,home_improvement,MORTGAGE
Charged Off,6000,23040,credit_card,RENT
Charged Off,19000,38000,debt_consolidation,OWN
Charged Off,24000,122400,debt_consolidation,MORTGAGE
Charged Off,2300,78000,other,MORTGAGE
Charged Off,18800,75000,debt_consolidation,RENT
Charged Off,5000,21000,other,RENT
Charged Off,17475,56000,other,RENT
Charged Off,34475,60000,debt_consolidation,RENT
Charged Off,10050,74143,home_improvement,MORTGAGE
Charged Off,10000,42000,credit_card,RENT
Charged Off,35000,90000,small_business,MORTGAGE
Charged Off,18200,42000,debt_consolidation,RENT
Charged Off,17000,53000,debt_consolidation,RENT
Charged Off,11100,45000,debt_consolidation,RENT
Charged Off,21000,42000,debt_consolidation,OWN
Charged Off,18500,112000,debt_consolidation,RENT
Charged Off,8500,27050,credit_card,RENT
Charged Off,9500,52000,debt_consolidation,MORTGAGE
Charged Off,12000,165000,debt_consolidation,RENT
Charged Off,5000,84855,other,RENT
Charged Off,4000,47000,other,RENT
Charged Off,15000,62000,debt_consolidation,RENT
Charged Off,16500,64000,credit_card,MORTGAGE
Charged Off,4000,25000,debt_consolidation,OWN
Charged Off,3000,55000,credit_card,RENT
Charged Off,3500,175000,medical,MORTGAGE
Charged Off,17500,45256,debt_consolidation,RENT
Charged Off,35000,165000,other,MORTGAGE
Charged Off,15000,70000,debt_consolidation,RENT
Charged Off,12200,35000,debt_consolidation,MORTGAGE
Charged Off,25000,81000,credit_card,RENT
Charged Off,7175,60000,small_business,RENT
Charged Off,17000,84000,home_improvement,MORTGAGE
Charged Off,16000,70000,debt_consolidation,MORTGAGE
Charged Off,10000,56496,debt_consolidation,RENT
Charged Off,8000,42240,credit_card,OWN
Charged Off,30000,120000,credit_card,OWN
Charged Off,15000,90000,debt_consolidation,RENT
Charged Off,8400,72000,debt_consolidation,RENT
Charged Off,22750,47840,debt_consolidation,MORTGAGE
Charged Off,5000,17000,major_purchase,RENT
Charged Off,1400,30108,debt_consolidation,MORTGAGE
Charged Off,2400,43080,debt_consolidation,RENT
Charged Off,5000,32500,other,OWN
Charged Off,2400,72000,other,MORTGAGE
Charged Off,10000,30000,credit_card,RENT
Charged Off,10000,26400,debt_consolidation,RENT
Charged Off,22800,68000,credit_card,RENT
Charged Off,3000,18000,small_business,RENT
Charged Off,4200,35000,debt_consolidation,RENT
Charged Off,7000,50000,credit_card,RENT
Charged Off,3600,32000,debt_consolidation,RENT
Charged Off,14000,27840,small_business,MORTGAGE
Charged Off,5325,22000,credit_card,RENT
Charged Off,14000,35000,debt_consolidation,OWN
Charged Off,16000,50000,credit_card,RENT
Charged Off,4000,48000,debt_consolidation,RENT
Charged Off,10000,60000,credit_card,RENT
Charged Off,5000,30000,debt_consolidation,RENT
Charged Off,2800,27000,other,RENT
Charged Off,4000,54000,debt_consolidation,RENT
Charged Off,4000,42000,debt_consolidation,MORTGAGE
Charged Off,6000,32000,debt_consolidation,RENT
Charged Off,2575,44420,debt_consolidation,RENT
Charged Off,8000,60000,home_improvement,RENT
Charged Off,6000,39168,debt_consolidation,MORTGAGE
Charged Off,20000,45000,debt_consolidation,RENT
Charged Off,25000,76000,credit_card,RENT
Charged Off,7200,50000,debt_consolidation,RENT
Charged Off,5000,42000,debt_consolidation,MORTGAGE
Charged Off,5500,36500,debt_consolidation,RENT
Charged Off,6000,39996,debt_consolidation,MORTGAGE
Charged Off,6000,45000,other,RENT
Charged Off,30000,525000,other,MORTGAGE
Charged Off,15000,31000,credit_card,RENT
Charged Off,9600,42000,other,RENT
Charged Off,3600,60000,debt_consolidation,RENT
Charged Off,4000,47000,debt_consolidation,RENT
Charged Off,23000,45600,other,RENT
Charged Off,12000,35004,debt_consolidation,MORTGAGE
Charged Off,2200,50000,home_improvement,MORTGAGE
Charged Off,24000,150000,debt_consolidation,RENT
Charged Off,10275,32400,debt_consolidation,RENT
Charged Off,23600,73174,other,MORTGAGE
Charged Off,12000,54600,credit_card,MORTGAGE
Charged Off,15000,75000,credit_card,MORTGAGE
Charged Off,25000,60000,debt_consolidation,RENT
Charged Off,7875,38400,major_purchase,OWN
Charged Off,12300,45000,debt_consolidation,RENT
Charged Off,35000,96000,debt_consolidation,MORTGAGE
Charged Off,7000,45996,other,MORTGAGE
Charged Off,15850,28000,credit_card,RENT
Charged Off,35000,65000,small_business,RENT
Charged Off,35000,60000,small_business,RENT
Charged Off,12000,34000,debt_consolidation,MORTGAGE
Charged Off,29700,58500,small_business,RENT
Charged Off,24000,220000,credit_card,MORTGAGE
Charged Off,19750,60000,credit_card,MORTGAGE
Charged Off,35000,60000,credit_card,MORTGAGE
Charged Off,25975,46000,debt_consolidation,MORTGAGE
Charged Off,15200,96000,other,MORTGAGE
Charged Off,24000,90000,debt_consolidation,MORTGAGE
Charged Off,8000,36000,debt_consolidation,RENT
Charged Off,12000,125000,credit_card,RENT
Charged Off,13000,118000,credit_card,RENT
Charged Off,15000,50004,debt_consolidation,MORTGAGE
Charged Off,35000,220000,home_improvement,MORTGAGE
Charged Off,6000,30000,debt_consolidation,RENT
Charged Off,5000,89000,home_improvement,MORTGAGE
Charged Off,19075,41500,debt_consolidation,RENT
Charged Off,3000,61160,other,RENT
Charged Off,7000,45000,other,RENT
Charged Off,25000,180000,small_business,RENT
Charged Off,12000,68000,debt_consolidation,MORTGAGE
Charged Off,10400,38004,debt_consolidation,RENT
Charged Off,3000,40000,debt_consolidation,RENT
Charged Off,15075,37000,debt_consolidation,RENT
Charged Off,28000,120000,debt_consolidation,MORTGAGE
Charged Off,15000,67000,debt_consolidation,RENT
Charged Off,5000,142000,debt_consolidation,MORTGAGE
Charged Off,8000,30000,other,RENT
Charged Off,4500,55000,debt_consolidation,RENT
Charged Off,12000,69600,other,RENT
Charged Off,9000,35000,debt_consolidation,RENT
Charged Off,35000,85000,debt_consolidation,MORTGAGE
Charged Off,20000,40000,debt_consolidation,RENT
Charged Off,5000,62000,credit_card,RENT
Charged Off,12000,65000,debt_consolidation,RENT
Charged Off,16000,120000,other,MORTGAGE
Charged Off,17625,36000,debt_consolidation,OWN
Charged Off,24000,85000,credit_card,MORTGAGE
Charged Off,3200,48000,debt_consolidation,MORTGAGE
Charged Off,10000,80000,debt_consolidation,MORTGAGE
Charged Off,1000,38000,debt_consolidation,RENT
Charged Off,19400,65000,small_business,RENT
Charged Off,22000,63000,debt_consolidation,RENT
Charged Off,35000,100000,debt_consolidation,MORTGAGE
Charged Off,3000,59100,major_purchase,RENT
Charged Off,1000,14400,debt_consolidation,RENT
Charged Off,15000,60000,debt_consolidation,MORTGAGE
Charged Off,8000,42816,major_purchase,RENT
Charged Off,5800,30000,home_improvement,RENT
Charged Off,1000,17280,debt_consolidation,OWN
Charged Off,12500,35000,debt_consolidation,RENT
Charged Off,20000,90000,debt_consolidation,MORTGAGE
Charged Off,17000,35000,credit_card,MORTGAGE
Charged Off,21600,92001,debt_consolidation,RENT
Charged Off,10000,35000,debt_consolidation,OWN
Charged Off,6400,55200,debt_consolidation,RENT
Charged Off,18000,80000,credit_card,MORTGAGE
Charged Off,25000,55000,debt_consolidation,MORTGAGE
Charged Off,2000,30972,other,RENT
Charged Off,12700,60000,debt_consolidation,RENT
Charged Off,6600,72000,debt_consolidation,RENT
Charged Off,22250,56000,credit_card,OWN
Charged Off,24000,125000,debt_consolidation,OWN
Charged Off,15000,65000,debt_consolidation,MORTGAGE
Charged Off,12000,57500,debt_consolidation,RENT
Charged Off,33000,115000,debt_consolidation,MORTGAGE
Charged Off,10000,40000,debt_consolidation,MORTGAGE
Charged Off,18000,50000,debt_consolidation,RENT
Charged Off,15000,60000,debt_consolidation,RENT
Charged Off,7500,40000,debt_consolidation,RENT
Charged Off,8000,108000,other,RENT
Charged Off,20000,41600,debt_consolidation,RENT
Charged Off,4000,32993,credit_card,RENT
Charged Off,16250,53000,credit_card,RENT
Charged Off,8300,30000,debt_consolidation,RENT
Charged Off,7000,22776,other,RENT
Charged Off,35000,175000,home_improvement,MORTGAGE
Charged Off,18000,42000,debt_consolidation,RENT
Charged Off,30000,100000,debt_consolidation,MORTGAGE
Charged Off,35000,85602,debt_consolidation,RENT
Charged Off,12000,54000,debt_consolidation,MORTGAGE
Charged Off,8000,42000,debt_consolidation,RENT
Charged Off,21200,60000,small_business,MORTGAGE
Charged Off,5000,37513,debt_consolidation,RENT
Charged Off,7200,114000,debt_consolidation,MORTGAGE
Charged Off,21000,71040,debt_consolidation,RENT
Charged Off,10000,60000,debt_consolidation,MORTGAGE
Charged Off,7750,26400,debt_consolidation,RENT
Charged Off,18825,50000,debt_consolidation,RENT
Charged Off,10000,80000,debt_consolidation,RENT
Charged Off,20450,52008,debt_consolidation,RENT
Charged Off,12000,40000,credit_card,MORTGAGE
Charged Off,7000,36475,debt_consolidation,RENT
Charged Off,24000,86779,other,RENT
Charged Off,18000,75000,debt_consolidation,MORTGAGE
Charged Off,5000,36000,other,OWN
Charged Off,1300,60000,other,RENT
Charged Off,15000,48000,debt_consolidation,RENT
Charged Off,6000,66000,other,MORTGAGE
Charged Off,6625,24947,credit_card,RENT
Charged Off,1100,36000,other,MORTGAGE
Charged Off,15000,50000,credit_card,OWN
Charged Off,35000,98000,debt_consolidation,RENT
Charged Off,5500,25000,other,RENT
Charged Off,10000,60000,credit_card,RENT
Charged Off,7000,47000,credit_card,MORTGAGE
Charged Off,1200,20400,other,RENT
Charged Off,20000,86124,debt_consolidation,OWN
Charged Off,5000,24000,other,RENT
Charged Off,5400,32000,medical,RENT
Charged Off,12000,36500,debt_consolidation,RENT
Charged Off,5050,67517,other,MORTGAGE
Charged Off,12000,70000,debt_consolidation,MORTGAGE
Charged Off,20000,60000,debt_consolidation,MORTGAGE
Charged Off,19000,60000,debt_consolidation,MORTGAGE
Charged Off,10000,51000,credit_card,RENT
Charged Off,12600,65000,credit_card,MORTGAGE
Charged Off,12800,38000,credit_card,RENT
Charged Off,26300,65000,credit_card,MORTGAGE
Charged Off,18800,56791,debt_consolidation,RENT
Charged Off,8000,47000,debt_consolidation,RENT
Charged Off,20000,51400,debt_consolidation,MORTGAGE
Charged Off,9750,21600,debt_consolidation,RENT
Charged Off,7000,54000,credit_card,MORTGAGE
Charged Off,14400,75000,debt_consolidation,RENT
Charged Off,15000,31000,debt_consolidation,MORTGAGE
Charged Off,15000,33000,debt_consolidation,OWN
Charged Off,1800,25000,other,RENT
Charged Off,3200,30000,home_improvement,MORTGAGE
Charged Off,21600,82000,debt_consolidation,MORTGAGE
Charged Off,21000,95000,credit_card,RENT
Charged Off,17000,78050,debt_consolidation,RENT
Charged Off,20000,102000,debt_consolidation,RENT
Charged Off,18400,61938,debt_consolidation,MORTGAGE
Charged Off,5000,41000,credit_card,RENT
Charged Off,16800,55000,debt_consolidation,MORTGAGE
Charged Off,10800,75000,debt_consolidation,RENT
Charged Off,5000,35000,other,RENT
Charged Off,25000,50000,small_business,RENT
Charged Off,14000,78000,debt_consolidation,MORTGAGE
Charged Off,35000,81500,debt_consolidation,RENT
Charged Off,20000,55000,credit_card,MORTGAGE
Charged Off,7500,34000,debt_consolidation,RENT
Charged Off,18800,46000,credit_card,RENT
Charged Off,20200,59670,debt_consolidation,RENT
Charged Off,20000,95000,debt_consolidation,RENT
Charged Off,7500,67000,home_improvement,OWN
Charged Off,21000,42000,small_business,MORTGAGE
Charged Off,30000,100000,debt_consolidation,MORTGAGE
Charged Off,8000,72000,debt_consolidation,RENT
Charged Off,8000,36000,debt_consolidation,RENT
Charged Off,18000,50000,credit_card,RENT
Charged Off,30000,110000,debt_consolidation,RENT
Charged Off,8875,23000,debt_consolidation,RENT
Charged Off,30000,61000,debt_consolidation,OWN
Charged Off,8900,77000,debt_consolidation,OWN
Charged Off,12000,87000,debt_consolidation,MORTGAGE
Charged Off,10000,62000,small_business,RENT
Charged Off,8000,60780,credit_card,RENT
Charged Off,35000,75000,debt_consolidation,RENT
Charged Off,9000,51000,debt_consolidation,RENT
Charged Off,1800,40000,other,RENT
Charged Off,14000,63000,small_business,MORTGAGE
Charged Off,2800,43200,other,RENT
Charged Off,8000,23000,debt_consolidation,RENT
Charged Off,14825,45600,debt_consolidation,RENT
Charged Off,6100,70000,debt_consolidation,OWN
Charged Off,10000,50000,credit_card,MORTGAGE
Default,7925,30000,credit_card,RENT
Charged Off,18000,36000,debt_consolidation,RENT
Charged Off,24575,54600,debt_consolidation,RENT
Charged Off,7200,26453,debt_consolidation,MORTGAGE
Charged Off,15000,95000,debt_consolidation,MORTGAGE
Charged Off,12000,34200,debt_consolidation,RENT
Charged Off,10625,51000,debt_consolidation,MORTGAGE
Charged Off,7500,60000,debt_consolidation,RENT
Charged Off,27000,98000,debt_consolidation,MORTGAGE
Charged Off,10000,80000,home_improvement,MORTGAGE
Charged Off,12000,39996,debt_consolidation,MORTGAGE
Charged Off,4500,40000,debt_consolidation,MORTGAGE
Charged Off,12000,75000,debt_consolidation,MORTGAGE
Charged Off,7000,39000,credit_card,RENT
Charged Off,10500,45000,home_improvement,OWN
Charged Off,7200,35000,debt_consolidation,RENT
Charged Off,3000,39192,other,MORTGAGE
Charged Off,35000,97936,debt_consolidation,MORTGAGE
Charged Off,24000,64480,debt_consolidation,MORTGAGE
Charged Off,35000,108600,debt_consolidation,RENT
Charged Off,6075,12000,other,RENT
Charged Off,17400,48000,debt_consolidation,RENT
Charged Off,18000,49989,debt_consolidation,OWN
Charged Off,8000,33000,debt_consolidation,RENT
Charged Off,10800,95000,debt_consolidation,MORTGAGE
Charged Off,17600,90000,debt_consolidation,MORTGAGE
Charged Off,20000,50000,small_business,MORTGAGE
Charged Off,35000,162000,debt_consolidation,RENT
Charged Off,6300,60000,major_purchase,MORTGAGE
Charged Off,18000,60000,debt_consolidation,MORTGAGE
Charged Off,16000,72000,debt_consolidation,OWN
Charged Off,16500,33000,small_business,MORTGAGE
Charged Off,18650,90000,small_business,RENT
Charged Off,12000,60000,debt_consolidation,RENT
Charged Off,12000,93000,debt_consolidation,MORTGAGE
Charged Off,5000,40000,debt_consolidation,RENT
Charged Off,30000,102500,debt_consolidation,RENT
Charged Off,23000,45948,small_business,MORTGAGE
Charged Off,2500,13200,other,RENT
Charged Off,8575,27840,debt_consolidation,RENT
Charged Off,16000,42494,major_purchase,RENT
Charged Off,15000,55000,debt_consolidation,RENT
Charged Off,22900,55000,debt_consolidation,RENT
Charged Off,6000,126000,home_improvement,MORTGAGE
Charged Off,14000,150000,debt_consolidation,RENT
Charged Off,35000,191000,home_improvement,MORTGAGE
Charged Off,3500,30000,debt_consolidation,RENT
Charged Off,21000,150000,other,RENT
Charged Off,13200,75000,credit_card,MORTGAGE
Charged Off,6850,54000,debt_consolidation,RENT
Charged Off,20000,75000,credit_card,RENT
Charged Off,5000,50000,debt_consolidation,RENT
Charged Off,12000,60000,debt_consolidation,MORTGAGE
Charged Off,21000,51000,debt_consolidation,RENT
Charged Off,35000,97500,home_improvement,MORTGAGE
Charged Off,1200,90216,home_improvement,MORTGAGE
Charged Off,35000,75000,debt_consolidation,MORTGAGE
Charged Off,10000,31000,major_purchase,RENT
Charged Off,3500,50000,major_purchase,MORTGAGE
Charged Off,24000,62000,debt_consolidation,RENT
Charged Off,20000,63239,debt_consolidation,MORTGAGE
Charged Off,14400,60000,debt_consolidation,MORTGAGE
Charged Off,12000,24000,other,RENT
Charged Off,2700,40800,debt_consolidation,RENT
Charged Off,14000,90000,debt_consolidation,MORTGAGE
Charged Off,6000,21624,other,RENT
Charged Off,12800,47712,debt_consolidation,RENT
Charged Off,5000,37516,debt_consolidation,RENT
Charged Off,30750,80000,home_improvement,RENT
Charged Off,16950,37440,debt_consolidation,MORTGAGE
Charged Off,13650,57600,other,MORTGAGE
Charged Off,15000,68962,debt_consolidation,RENT
Charged Off,7200,45000,credit_card,RENT
Charged Off,10600,72800,major_purchase,MORTGAGE
Charged Off,7000,40000,other,RENT
Charged Off,5000,38000,other,RENT
Charged Off,18225,58000,credit_card,MORTGAGE
Charged Off,12000,34440,debt_consolidation,OWN
Charged Off,20000,66000,debt_consolidation,MORTGAGE
Charged Off,15000,44400,debt_consolidation,RENT
Charged Off,24000,66000,debt_consolidation,MORTGAGE
Charged Off,6250,28000,other,MORTGAGE
Charged Off,4800,70000,home_improvement,MORTGAGE
Charged Off,26000,52000,debt_consolidation,RENT
Charged Off,15000,58000,debt_consolidation,MORTGAGE
Charged Off,20000,101657,debt_consolidation,MORTGAGE
Charged Off,20000,54000,credit_card,MORTGAGE
Charged Off,14300,75000,debt_consolidation,RENT
Charged Off,20000,80000,other,MORTGAGE
Charged Off,10000,78000,debt_consolidation,MORTGAGE
Charged Off,13575,60000,credit_card,RENT
Charged Off,10000,30000,credit_card,RENT
Charged Off,16000,70000,medical,RENT
Charged Off,20000,84000,credit_card,MORTGAGE
Charged Off,2000,24000,other,RENT
Charged Off,25000,66362,debt_consolidation,MORTGAGE
Charged Off,35000,82000,small_business,RENT
Charged Off,15875,32400,small_business,RENT
Charged Off,10000,90000,small_business,RENT
Charged Off,8000,40000,debt_consolidation,RENT
Charged Off,14000,45000,debt_consolidation,MORTGAGE
Charged Off,18250,45000,debt_consolidation,MORTGAGE
Charged Off,8000,40000,debt_consolidation,MORTGAGE
Charged Off,22575,84000,small_business,MORTGAGE
Charged Off,12000,24000,debt_consolidation,RENT
Charged Off,6400,33000,major_purchase,RENT
Charged Off,20000,73000,debt_consolidation,RENT
Charged Off,21600,96000,debt_consolidation,MORTGAGE
Charged Off,6000,21640,debt_consolidation,RENT
Charged Off,7000,46800,other,OWN
Charged Off,14500,39300,credit_card,MORTGAGE
Charged Off,4950,19200,debt_consolidation,MORTGAGE
Charged Off,35000,109592,debt_consolidation,MORTGAGE
Charged Off,3825,14400,debt_consolidation,RENT
Charged Off,17500,65000,debt_consolidation,RENT
Charged Off,4000,16800,other,RENT
Charged Off,35000,85000,debt_consolidation,MORTGAGE
Charged Off,7475,53000,debt_consolidation,OWN
Charged Off,2800,52800,other,MORTGAGE
Charged Off,4000,40860,other,RENT
Charged Off,20000,65000,credit_card,MORTGAGE
Charged Off,35000,70000,debt_consolidation,RENT
Charged Off,14400,44000,debt_consolidation,RENT
Charged Off,4000,43200,debt_consolidation,RENT
Charged Off,12000,70000,debt_consolidation,RENT
Charged Off,22125,50000,debt_consolidation,MORTGAGE
Charged Off,24000,85000,debt_consolidation,MORTGAGE
Charged Off,9300,30000,other,RENT
Charged Off,4350,90000,credit_card,RENT
Charged Off,20000,43000,credit_card,RENT
Charged Off,6850,53000,credit_card,RENT
Charged Off,18550,138000,debt_consolidation,MORTGAGE
Charged Off,2000,21600,debt_consolidation,RENT
Charged Off,35000,82000,credit_card,MORTGAGE
Charged Off,12000,72000,debt_consolidation,MORTGAGE
Charged Off,25500,70000,small_business,MORTGAGE
Charged Off,35000,185000,small_business,RENT
Charged Off,17750,90000,debt_consolidation,MORTGAGE
Charged Off,15000,45500,debt_consolidation,RENT
Charged Off,18550,54000,small_business,MORTGAGE
Charged Off,6000,37200,other,RENT
Charged Off,5000,38000,debt_consolidation,RENT
Charged Off,6350,18816,debt_consolidation,OWN
Charged Off,13000,85200,medical,MORTGAGE
Charged Off,35000,70000,medical,MORTGAGE
Charged Off,5500,40000,debt_consolidation,MORTGAGE
Charged Off,8000,31000,other,RENT
Charged Off,15000,49772,debt_consolidation,MORTGAGE
Charged Off,15600,148112,home_improvement,MORTGAGE
Charged Off,1000,33600,small_business,RENT
Charged Off,27600,48000,small_business,MORTGAGE
Charged Off,8000,19200,other,RENT
Charged Off,2400,12000,credit_card,RENT
Charged Off,14400,75000,small_business,MORTGAGE
Charged Off,24000,110000,debt_consolidation,MORTGAGE
Charged Off,7200,45000,debt_consolidation,RENT
Charged Off,3000,36000,other,RENT
Charged Off,35000,270000,debt_consolidation,MORTGAGE
Charged Off,6000,39564,debt_consolidation,RENT
Charged Off,12000,34000,debt_consolidation,MORTGAGE
Charged Off,15000,50000,debt_consolidation,RENT
Charged Off,15000,32976,debt_consolidation,MORTGAGE
Charged Off,1500,21600,other,RENT
Charged Off,30000,90000,debt_consolidation,RENT
Charged Off,12000,48744,other,RENT
Charged Off,14000,45760,credit_card,OWN
